Timestamp	Temperature (°C)	Oxygen Saturation (%)	Pulse Rate (BPM)
8/20/2025, 1:45:53 PM	28.3	91.4	71
8/20/2025, 1:44:53 PM	26.4	96.5	113
8/20/2025, 1:43:53 PM	32.9	97.6	115
8/20/2025, 1:42:53 PM	21.9	93.5	116
8/20/2025, 1:41:53 PM	30.7	99.2	89
8/20/2025, 1:40:53 PM	31.3	94.6	81
8/20/2025, 1:39:53 PM	23.2	95.5	81
8/20/2025, 1:38:53 PM	20.0	97.3	108
8/20/2025, 1:37:53 PM	21.3	95.7	114
8/20/2025, 1:36:53 PM	21.6	90.6	69
8/20/2025, 1:35:53 PM	29.7	93.5	93
8/20/2025, 1:34:53 PM	34.7	99.6	69
8/20/2025, 1:33:53 PM	27.4	90.9	63
8/20/2025, 1:32:53 PM	23.8	90.9	107
8/20/2025, 1:31:53 PM	20.0	97.7	108
8/20/2025, 1:30:53 PM	33.4	91.2	75
8/20/2025, 1:29:53 PM	27.4	98.8	62
8/20/2025, 1:28:53 PM	33.7	99.1	83
8/20/2025, 1:27:53 PM	30.6	90.4	111
8/20/2025, 1:26:53 PM	22.5	92.3	70
8/20/2025, 1:25:53 PM	33.2	90.6	80
8/20/2025, 1:24:53 PM	34.6	90.2	81
8/20/2025, 1:23:53 PM	34.5	98.3	104
8/20/2025, 1:22:53 PM	32.4	99.6	69
8/20/2025, 1:21:53 PM	26.7	94.9	68
8/20/2025, 1:20:53 PM	33.4	91.6	118
8/20/2025, 1:19:53 PM	21.0	93.8	113
8/20/2025, 1:18:53 PM	23.0	93.2	101
8/20/2025, 1:17:53 PM	24.3	98.1	117
8/20/2025, 1:16:53 PM	31.6	94.2	115
8/20/2025, 1:15:53 PM	29.2	90.8	94
8/20/2025, 1:14:53 PM	26.7	91.2	116
8/20/2025, 1:13:53 PM	28.5	97.4	96
8/20/2025, 1:12:53 PM	29.5	97.4	82
8/20/2025, 1:11:53 PM	20.1	99.7	68
8/20/2025, 1:10:53 PM	34.8	97.7	112
8/20/2025, 1:09:53 PM	34.6	94.0	93
8/20/2025, 1:08:53 PM	25.2	96.1	95
8/20/2025, 1:07:53 PM	20.6	95.6	118
8/20/2025, 1:06:53 PM	31.1	95.4	95
8/20/2025, 1:05:53 PM	33.3	95.9	62
8/20/2025, 1:04:53 PM	22.6	96.4	67
8/20/2025, 1:03:53 PM	24.0	95.8	77
8/20/2025, 1:02:53 PM	22.1	91.9	65
8/20/2025, 1:01:53 PM	35.0	92.4	88
8/20/2025, 1:00:53 PM	31.9	93.5	114
8/20/2025, 12:59:53 PM	29.5	98.7	92
8/20/2025, 12:58:53 PM	29.9	94.6	118
8/20/2025, 12:57:53 PM	26.0	100.0	73
8/20/2025, 12:56:53 PM	23.1	98.3	93
